node,activity_count,retweet_ratio,mention_ratio,reply_ratio,activity_span
4,0.125,0.4666666666666667,0.4666666666666667,0.13333333333333333,0.4034112995576972
9,0.008333333333333333,1.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
19,0.008333333333333333,0.0,1.0,0.0,0.0
20,0.05,0.3333333333333333,0.6666666666666666,0.0,0.36824420156119225
49,0.025,0.0,1.0,0.0,0.47486263399532835
61,0.008333333333333333,1.0,0.0,0.0,0.0
65,0.041666666666666664,0.0,0.8,0.4,0.0004430031763152642
66,0.0,0.0,0.0,0.0,0.0
71,0.05,0.5,0.5,0.0,0.6766181872940386
83,0.008333333333333333,1.0,0.0,0.0,0.0
102,0.008333333333333333,1.0,0.0,0.0,0.0
115,0.008333333333333333,1.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0
191,0.016666666666666666,0.0,1.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0
205,0.06666666666666667,0.375,0.625,0.0,0.6212760592678717
208,0.0,0.0,0.0,0.0,0.0
210,0.016666666666666666,0.0,0.5,1.0,0.0
221,0.0,0.0,0.0,0.0,0.0
276,0.008333333333333333,1.0,0.0,0.0,0.0
287,0.016666666666666666,0.5,0.5,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0.0
301,0.008333333333333333,0.0,1.0,0.0,0.0
325,0.008333333333333333,0.0,1.0,0.0,0.0
329,0.016666666666666666,0.5,0.5,0.0,0.00601818939523938
331,0.008333333333333333,1.0,0.0,0.0,0.0
337,0.008333333333333333,1.0,0.0,0.0,0.0
339,0.025,0.6666666666666666,0.3333333333333333,0.0,0.09211139166033389
340,0.08333333333333333,0.5,0.4,0.2,0.07727866475690857
342,0.008333333333333333,0.0,1.0,0.0,0.0
352,0.0,0.0,0.0,0.0,0.0
355,0.008333333333333333,1.0,0.0,0.0,0.0
359,0.008333333333333333,1.0,0.0,0.0,0.0
367,0.008333333333333333,0.0,1.0,0.0,0.0
370,0.008333333333333333,1.0,0.0,0.0,0.0
371,0.016666666666666666,0.5,0.5,0.0,0.0
380,0.0,0.0,0.0,0.0,0.0
381,0.0,0.0,0.0,0.0,0.0
385,0.008333333333333333,1.0,0.0,0.0,0.0
393,0.008333333333333333,1.0,0.0,0.0,0.0
399,0.008333333333333333,1.0,0.0,0.0,0.0
400,0.06666666666666667,0.125,0.5,0.75,0.0980963120423322
403,0.041666666666666664,0.8,0.2,0.0,0.1784970110418104
409,0.016666666666666666,1.0,0.0,0.0,0.06620883835111767
419,0.016666666666666666,0.0,1.0,0.0,9.805603902630354e-05
425,0.0,0.0,0.0,0.0,0.0
431,0.008333333333333333,0.0,1.0,0.0,0.0
437,0.025,0.0,1.0,0.0,0.0010365924125637803
440,0.0,0.0,0.0,0.0,0.0
441,0.058333333333333334,0.5714285714285714,0.42857142857142855,0.0,0.1835889210683906
456,0.09166666666666666,0.09090909090909091,0.9090909090909091,0.0,0.3207202916466761
461,0.041666666666666664,0.2,0.8,0.0,0.23364652899131855
471,0.016666666666666666,0.5,0.5,0.0,0.0
476,0.0,0.0,0.0,0.0,0.0
477,0.016666666666666666,0.0,1.0,0.0,0.14928506641545644
479,0.09166666666666666,0.0,0.9090909090909091,0.18181818181818182,0.5041043456335296
486,0.041666666666666664,0.0,0.6,0.8,0.09465384467223019
494,0.0,0.0,0.0,0.0,0.0
496,0.008333333333333333,0.0,1.0,0.0,0.0
498,0.008333333333333333,0.0,1.0,0.0,0.0
503,0.025,0.3333333333333333,0.6666666666666666,0.0,0.0007967053170887163
510,0.041666666666666664,0.4,0.6,0.0,0.585587163063691
514,0.025,0.6666666666666666,0.3333333333333333,0.0,0.30561440863453465
515,0.025,1.0,0.0,0.0,0.23132470206723144
519,0.016666666666666666,1.0,0.0,0.0,1.7510006968982774e-05
521,0.0,0.0,0.0,0.0,0.0
524,0.008333333333333333,0.0,1.0,0.0,0.0
526,0.016666666666666666,0.0,0.5,1.0,0.0
527,0.075,0.5555555555555556,0.4444444444444444,0.0,0.303404645755049
529,0.025,0.6666666666666666,0.3333333333333333,0.0,0.0029521871749704958
533,0.008333333333333333,0.0,1.0,0.0,0.0
534,0.008333333333333333,0.0,1.0,0.0,0.0
538,0.008333333333333333,0.0,1.0,0.0,0.0
545,0.008333333333333333,1.0,0.0,0.0,0.0
550,0.09166666666666666,0.36363636363636365,0.6363636363636364,0.0,0.28523976452542626
554,0.0,0.0,0.0,0.0,0.0
556,0.06666666666666667,0.375,0.375,0.5,0.31405948499567504
565,0.008333333333333333,1.0,0.0,0.0,0.0
566,0.008333333333333333,1.0,0.0,0.0,0.0
567,0.008333333333333333,1.0,0.0,0.0,0.0
570,0.0,0.0,0.0,0.0,0.0
571,0.008333333333333333,1.0,0.0,0.0,0.0
579,0.025,0.3333333333333333,0.6666666666666666,0.0,0.20925333828282863
588,0.008333333333333333,0.0,1.0,0.0,0.0
590,0.0,0.0,0.0,0.0,0.0
591,0.016666666666666666,1.0,0.0,0.0,0.0645488896904581
607,0.0,0.0,0.0,0.0,0.0
610,0.0,0.0,0.0,0.0,0.0
616,0.0,0.0,0.0,0.0,0.0
618,0.025,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.22254343357228656
630,0.016666666666666666,0.0,0.5,1.0,0.0
634,0.008333333333333333,1.0,0.0,0.0,0.0
638,0.041666666666666664,0.0,0.8,0.4,0.08634359536475096
642,0.041666666666666664,0.8,0.2,0.0,0.08043221701202237
647,0.0,0.0,0.0,0.0,0.0
654,0.008333333333333333,1.0,0.0,0.0,0.0
664,0.008333333333333333,1.0,0.0,0.0,0.0
665,0.0,0.0,0.0,0.0,0.0
672,0.008333333333333333,1.0,0.0,0.0,0.0
675,0.008333333333333333,1.0,0.0,0.0,0.0
678,0.016666666666666666,0.0,0.5,1.0,0.0
679,0.0,0.0,0.0,0.0,0.0
682,0.05,0.5,0.5,0.0,0.30255716141775024
683,0.008333333333333333,0.0,1.0,0.0,0.0
689,0.016666666666666666,1.0,0.0,0.0,0.21127049108565546
701,0.008333333333333333,0.0,1.0,0.0,0.0
731,0.03333333333333333,1.0,0.0,0.0,0.2621230533249752
745,0.008333333333333333,1.0,0.0,0.0,0.0
763,0.008333333333333333,1.0,0.0,0.0,0.0
774,0.0,0.0,0.0,0.0,0.0
779,0.025,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.006513722592461592
794,0.0,0.0,0.0,0.0,0.0
812,0.0,0.0,0.0,0.0,0.0
818,0.008333333333333333,1.0,0.0,0.0,0.0
821,0.05,0.3333333333333333,0.5,0.3333333333333333,0.47008415309349294
834,0.008333333333333333,1.0,0.0,0.0,0.0
837,0.0,0.0,0.0,0.0,0.0
840,0.008333333333333333,1.0,0.0,0.0,0.0
841,0.0,0.0,0.0,0.0,0.0
845,0.0,0.0,0.0,0.0,0.0
853,0.03333333333333333,0.0,0.75,0.5,0.0
861,0.008333333333333333,1.0,0.0,0.0,0.0
899,0.03333333333333333,0.25,0.75,0.0,0.23606816295512886
917,0.0,0.0,0.0,0.0,0.0
920,0.008333333333333333,0.0,1.0,0.0,0.0
931,0.008333333333333333,0.0,1.0,0.0,0.0
939,0.03333333333333333,0.75,0.25,0.0,0.00601818939523938
941,0.041666666666666664,1.0,0.0,0.0,0.014783698883912157
957,0.008333333333333333,0.0,1.0,0.0,0.0
960,0.0,0.0,0.0,0.0,0.0
962,0.0,0.0,0.0,0.0,0.0
968,0.016666666666666666,0.0,0.5,1.0,0.0
969,0.0,0.0,0.0,0.0,0.0
975,0.041666666666666664,0.8,0.2,0.0,0.3491670489684855
988,0.0,0.0,0.0,0.0,0.0
990,0.0,0.0,0.0,0.0,0.0
997,0.15833333333333333,0.8947368421052632,0.10526315789473684,0.0,0.6801692167073483
1020,0.0,0.0,0.0,0.0,0.0
1035,0.016666666666666666,0.0,1.0,0.0,5.253002090694832e-05
1038,0.0,0.0,0.0,0.0,0.0
1044,0.008333333333333333,1.0,0.0,0.0,0.0
1062,0.0,0.0,0.0,0.0,0.0
1068,0.0,0.0,0.0,0.0,0.0
1105,0.008333333333333333,1.0,0.0,0.0,0.0
1106,0.0,0.0,0.0,0.0,0.0
1115,0.008333333333333333,0.0,1.0,0.0,0.0
1140,0.008333333333333333,1.0,0.0,0.0,0.0
1147,0.058333333333333334,0.7142857142857143,0.2857142857142857,0.0,0.37045921744276855
1152,0.06666666666666667,0.0,0.75,0.5,0.28832327675266417
1159,0.025,0.6666666666666666,0.3333333333333333,0.0,0.44274052621072946
1160,0.125,0.7333333333333333,0.26666666666666666,0.0,0.5436419413694927
1162,0.03333333333333333,0.25,0.75,0.0,0.00019611207805260707
1168,0.0,0.0,0.0,0.0,0.0
1177,0.016666666666666666,0.5,0.5,0.0,0.0
1193,0.008333333333333333,1.0,0.0,0.0,0.0
1194,0.008333333333333333,1.0,0.0,0.0,0.0
1203,0.016666666666666666,1.0,0.0,0.0,0.0012782305087357425
1225,0.008333333333333333,1.0,0.0,0.0,0.0
1250,0.0,0.0,0.0,0.0,0.0
1265,0.0,0.0,0.0,0.0,0.0
1274,0.0,0.0,0.0,0.0,0.0
1286,0.008333333333333333,1.0,0.0,0.0,0.0
1291,0.0,0.0,0.0,0.0,0.0
1298,0.025,1.0,0.0,0.0,0.006270333495592731
1312,0.008333333333333333,0.0,1.0,0.0,0.0
1314,0.0,0.0,0.0,0.0,0.0
1317,0.0,0.0,0.0,0.0,0.0
1341,0.0,0.0,0.0,0.0,0.0
1353,0.0,0.0,0.0,0.0,0.0
1363,0.0,0.0,0.0,0.0,0.0
1372,0.016666666666666666,1.0,0.0,0.0,0.08865141428326288
1394,0.05,0.5,0.5,0.0,0.20263630664925006
1397,0.008333333333333333,1.0,0.0,0.0,0.0
1401,0.0,0.0,0.0,0.0,0.0
1440,0.016666666666666666,0.0,0.5,1.0,0.0
1455,0.016666666666666666,1.0,0.0,0.0,0.42139757871623634
1458,0.025,0.0,0.6666666666666666,0.6666666666666666,0.015739745264418615
1461,0.008333333333333333,1.0,0.0,0.0,0.0
1464,0.025,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.2257004878287942e-05
1472,0.008333333333333333,1.0,0.0,0.0,0.0
1481,0.025,0.0,0.6666666666666666,0.6666666666666666,0.0002644011052316399
1486,0.008333333333333333,0.0,1.0,0.0,0.0
1499,0.008333333333333333,1.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0,0.0
1512,0.016666666666666666,0.0,1.0,0.0,0.0
1513,0.016666666666666666,0.5,0.5,0.0,0.0
1520,0.008333333333333333,1.0,0.0,0.0,0.0
1530,0.016666666666666666,1.0,0.0,0.0,0.001812285721289717
1548,0.0,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0,0.0
1554,0.016666666666666666,0.0,0.5,1.0,0.0
1559,0.025,0.0,0.6666666666666666,0.6666666666666666,0.0
1574,0.016666666666666666,0.5,0.5,0.0,0.0
1586,0.025,0.3333333333333333,0.6666666666666666,0.0,0.0171808188379659
1667,0.03333333333333333,1.0,0.0,0.0,0.1264432623244184
1703,0.03333333333333333,0.75,0.25,0.0,0.22328410686707453
1728,0.016666666666666666,1.0,0.0,0.0,0.00020486708153709846
1750,0.008333333333333333,1.0,0.0,0.0,0.0
1752,0.05,0.8333333333333334,0.16666666666666666,0.0,0.4087378436776618
1762,0.025,0.0,1.0,0.0,0.05481682781709747
1791,0.0,0.0,0.0,0.0,0.0
1840,0.0,0.0,0.0,0.0,0.0
1871,0.008333333333333333,1.0,0.0,0.0,0.0
1884,0.0,0.0,0.0,0.0,0.0
1896,0.03333333333333333,0.0,1.0,0.0,0.07067564112890518
1926,0.016666666666666666,1.0,0.0,0.0,0.10980875570388478
1942,0.008333333333333333,1.0,0.0,0.0,0.0
1944,0.03333333333333333,0.25,0.5,0.5,0.3149174753371552
1973,0.0,0.0,0.0,0.0,0.0
1979,0.008333333333333333,1.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0
1988,0.03333333333333333,0.5,0.5,0.0,0.009187500656625262
2001,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0
2058,0.0,0.0,0.0,0.0,0.0
2065,0.008333333333333333,1.0,0.0,0.0,0.0
2070,0.0,0.0,0.0,0.0,0.0
2071,0.008333333333333333,1.0,0.0,0.0,0.0
2080,0.05,0.6666666666666666,0.3333333333333333,0.0,0.348624238752447
2081,0.008333333333333333,1.0,0.0,0.0,0.0
2086,0.0,0.0,0.0,0.0,0.0
2089,0.0,0.0,0.0,0.0,0.0
2111,0.008333333333333333,1.0,0.0,0.0,0.0
2122,0.0,0.0,0.0,0.0,0.0
2138,0.008333333333333333,1.0,0.0,0.0,0.0
2152,0.008333333333333333,1.0,0.0,0.0,0.0
2157,0.16666666666666666,0.25,0.7,0.1,0.30275502449649977
2163,0.0,0.0,0.0,0.0,0.0
2164,0.008333333333333333,0.0,1.0,0.0,0.0
2165,0.06666666666666667,0.5,0.25,0.5,0.17271695774134918
2167,0.0,0.0,0.0,0.0,0.0
2168,0.0,0.0,0.0,0.0,0.0
2175,0.075,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.25357116592132406
2179,0.03333333333333333,0.0,0.5,1.0,0.022043347773252415
2183,0.05,0.8333333333333334,0.16666666666666666,0.0,0.2990604130260444
2189,0.008333333333333333,1.0,0.0,0.0,0.0
2203,0.008333333333333333,1.0,0.0,0.0,0.0
2209,0.016666666666666666,0.5,0.5,0.0,0.03479938785015636
2243,0.0,0.0,0.0,0.0,0.0
2247,0.058333333333333334,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.39117705768846894
2249,0.016666666666666666,0.0,0.5,1.0,0.0
2255,0.025,0.3333333333333333,0.6666666666666666,0.0,0.270079600491681
2260,0.008333333333333333,1.0,0.0,0.0,0.0
2272,0.0,0.0,0.0,0.0,0.0
2280,0.13333333333333333,0.375,0.375,0.5,0.07686367759174369
2281,0.0,0.0,0.0,0.0,0.0
2287,0.05,0.16666666666666666,0.8333333333333334,0.0,0.0018578117394090724
2305,0.0,0.0,0.0,0.0,0.0
