src,dst,probability
4,359,0.2596833333333333
4,990,0.01
4,5933,0.08783333333333333
4,997,0.26716754385964914
4,4715,0.2535833333333333
4,1440,0.01016666666666665
4,1314,0.01
4,1317,0.0116
4,2662,0.2269611111111111
4,6525,0.2584666666666667
4,3002,0.25875
4,292,0.0123
4,9625,0.2525833333333333
4,899,0.07433333333333333
4,1020,0.01
4,920,0.08158333333333333
4,380,0.01
4,381,0.0172
4,1455,0.26226666666666665
4,385,0.2723833333333333
4,1035,0.01426666666666665
4,1038,0.01
4,4482,0.01
4,2670,0.3493833333333333
4,9,0.25538333333333335
4,1341,0.01
4,393,0.26398333333333335
4,1503,0.5
4,301,0.19168333333333332
4,9636,0.2535833333333333
4,9639,0.01
4,9640,0.25588333333333335
4,9641,0.01
4,9645,0.09128333333333333
4,9647,0.06256666666666666
4,1106,0.01
4,1372,0.25536666666666663
4,2469,0.22443333333333335
4,9649,0.01
4,1115,0.012283333333333327
4,1486,0.01
4,339,0.20161666666666667
4,1871,0.2638833333333333
4,191,0.01
4,5980,0.016583333333333325
4,9664,0.25538333333333335
4,9670,0.01
4,9673,0.26421666666666666
4,9675,0.01
4,1177,0.13306666666666664
4,1286,0.30388333333333334
4,1884,0.0151
4,527,0.1726388888888889
4,9683,0.25686666666666663
4,1193,0.25598333333333334
4,355,0.26708333333333334
4,9688,0.01
359,1317,0.0116
359,2662,0.2269611111111111
359,205,0.24471666666666664
359,2670,0.3493833333333333
359,2671,0.0262
359,2672,0.2530833333333333
359,1503,0.5
359,1062,0.1885
359,301,0.19168333333333332
359,403,0.2543166666666667
359,1762,0.015050000000000001
359,83,0.3029833333333333
359,456,0.08484393939393937
359,2684,0.10827499999999998
359,2689,0.03168333333333333
359,1548,0.0332
359,1286,0.30388333333333334
359,1988,0.27183333333333337
359,2692,0.0192
359,1791,0.01
359,71,0.19890000000000002
359,202,0.0102
359,2700,0.0234
359,2417,0.20869761904761902
359,1896,0.04293333333333332
359,2009,0.0162
990,4,0.22251666666666667
990,5933,0.08783333333333333
990,6525,0.2584666666666667
990,3566,0.2629666666666666
990,920,0.08158333333333333
990,2670,0.3493833333333333
990,5082,0.13733333333333334
990,10543,0.01
990,1503,0.5
990,301,0.19168333333333332
990,10549,0.01
990,10550,0.01
990,6102,0.2537833333333333
990,7613,0.13366666666666666
990,10551,0.01
990,6286,0.01
990,9645,0.09128333333333333
990,1105,0.2601833333333333
990,1115,0.012283333333333327
990,10558,0.25488333333333335
990,10559,0.13803333333333334
990,339,0.20161666666666667
990,456,0.08484393939393937
990,10563,0.2526833333333333
990,10568,0.2660666666666667
990,10574,0.01
990,1160,0.21938333333333332
990,9670,0.01
990,10580,0.01
990,1286,0.30388333333333334
990,5754,0.01
990,5193,0.03925
990,1988,0.27183333333333337
990,10602,0.015183333333333326
990,10609,0.2527833333333333
990,329,0.13876666666666665
5933,4,0.22251666666666667
5933,990,0.01
5933,1314,0.01
5933,2662,0.2269611111111111
5933,205,0.24471666666666664
5933,371,0.13206666666666667
5933,899,0.07433333333333333
5933,5697,0.018283333333333325
5933,6095,0.01
5933,6202,0.01
5933,920,0.08158333333333333
5933,1503,0.5
5933,5953,0.01
5933,1062,0.1885
5933,301,0.19168333333333332
5933,6236,0.01716666666666665
5933,745,0.2587833333333333
5933,9797,0.0547
5933,5716,0.2519404761904762
5933,5963,0.2673833333333333
5933,15594,0.08643333333333333
5933,15595,0.17791666666666667
5933,14893,0.05883333333333332
5933,9438,0.01
5933,1115,0.012283333333333327
5933,9442,0.01
5933,8343,0.01
5933,339,0.20161666666666667
5933,15596,0.12232575757575756
5933,15597,0.016283333333333327
5933,6161,0.2589666666666667
5933,13032,0.2547833333333333
5933,15599,0.2651
5933,15600,0.01
5933,15601,0.01
5933,13667,0.01
5933,9540,0.012683333333333324
5933,13668,0.07643333333333333
5933,15604,0.01
5933,7033,0.18581666666666666
5933,15605,0.010283333333333325
5933,1286,0.30388333333333334
5933,10645,0.015433333333333325
5933,1988,0.27183333333333337
5933,15608,0.01
5933,15610,0.01
5933,15611,0.01
5933,15613,0.13813333333333333
5933,10707,0.1303833333333333
5933,15619,0.01
5933,15625,0.13156666666666667
5933,15628,0.25248333333333334
5933,10260,0.0313
5933,5894,0.2567833333333333
997,4,0.333775
997,11081,0.25438333333333335
997,367,0.047083333333333324
997,370,0.38198333333333334
997,920,0.08158333333333333
997,380,0.01
997,381,0.0172
997,385,0.2723833333333333
997,1035,0.01426666666666665
997,2670,0.3493833333333333
997,9,0.25538333333333335
997,393,0.26398333333333335
997,1503,0.5
997,1062,0.28275
997,301,0.287525
997,419,0.02786666666666665
997,49,0.01285
997,431,0.032083333333333325
997,339,0.20161666666666667
997,456,0.08484393939393937
997,461,0.09791666666666665
997,10580,0.01
997,1177,0.13306666666666664
997,14932,0.2710666666666667
997,3197,0.0285
997,1988,0.27183333333333337
997,524,0.01
997,17468,0.11831666666666665
997,5449,0.09998333333333334
997,325,0.018583333333333327
997,554,0.0385
997,556,0.14491666666666658
997,17471,0.2611833333333333
997,565,0.2587833333333333
997,9207,0.01986666666666665
997,570,0.01
4715,205,0.24471666666666664
4715,6188,0.17681666666666665
4715,1503,0.5
4715,18248,0.01
4715,340,0.1479333333333333
4715,18261,0.01
1440,638,0.041316666666666654
1440,292,0.0123
1440,4299,0.1659611111111111
1440,920,0.08158333333333333
1440,4304,0.14059848484848483
1440,385,0.2723833333333333
1440,297,0.0196
1440,642,0.21681666666666666
1440,4821,0.0275
1440,1503,0.5
1440,1942,0.2672833333333333
1440,400,0.10351666666666665
1440,1062,0.1885
1440,403,0.2543166666666667
1440,745,0.2587833333333333
1440,431,0.032083333333333325
1440,13069,0.26358333333333334
1440,461,0.09791666666666665
1440,9670,0.01
1440,4344,0.0868
1440,3502,0.01
1440,818,0.29818333333333336
1440,352,0.1198
1440,65,0.02181666666666665
1440,679,0.0938
1440,960,0.0951
1440,15113,0.05016666666666665
1440,13486,0.0528
1440,4365,0.13233333333333333
1440,554,0.0385
1440,18189,0.15083333333333332
1440,3020,0.0126
1314,359,0.2596833333333333
1314,4,0.22251666666666667
1314,5933,0.08783333333333333
1314,371,0.13206666666666667
1314,4304,0.14059848484848483
1314,19621,0.25348333333333334
1314,1035,0.01426666666666665
1314,2670,0.3493833333333333
1314,393,0.26398333333333335
1314,1503,0.5
1314,6233,0.01
1314,1062,0.1885
1314,17968,0.25566666666666665
1314,19625,0.01
1314,2450,0.2825833333333333
1314,83,0.3029833333333333
1314,431,0.032083333333333325
1314,1115,0.012283333333333327
1314,19629,0.01
1314,339,0.20161666666666667
1314,19633,0.25908333333333333
1314,461,0.09791666666666665
1314,9664,0.25538333333333335
1314,11547,0.13276666666666664
1314,15245,0.01
1314,9673,0.26421666666666666
1314,1177,0.13306666666666664
1314,19638,0.25488333333333335
1314,221,0.0299
1314,19642,0.01
1314,19644,0.12472619047619045
1314,19645,0.2526833333333333
1314,325,0.018583333333333327
1314,71,0.19890000000000002
1314,19647,0.25448333333333334
1314,554,0.0385
1314,5199,0.0146
1314,4377,0.19676666666666667
1314,19649,0.01
1314,19651,0.01
1314,19657,0.01
1314,19658,0.01
1317,359,0.2596833333333333
1317,381,0.0172
